Symbol	Name	LastSale	MarketCap	IPOyear	Sector	industry	Summary Quote
XXII	"22nd Century Group, Inc"	0.9	$81.63M	n/a	Consumer Non-Durables	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/xxii
FAX	Aberdeen Asia-Pacific Income Fund Inc	4.76	$1.21B	1986	n/a	n/a	http://www.nasdaq.com/symbol/fax
IAF	Aberdeen Australia Equity Fund Inc	5.82	$132.36M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/iaf
CH	"Aberdeen Chile Fund, Inc."	6.23	$58.48M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/ch
ABE           	Aberdeen Emerging Markets Smaller Company Opportunities Fund I	11.43	$110.23M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/abe
FCO	"Aberdeen Global Income Fund, Inc."	8.23	$71.97M	1992	n/a	n/a	http://www.nasdaq.com/symbol/fco
IF	"Aberdeen Indonesia Fund, Inc."	6.27	$58.94M	1990	n/a	n/a	http://www.nasdaq.com/symbol/if
ISL	"Aberdeen Israel Fund, Inc."	16.22	$64.85M	1992	n/a	n/a	http://www.nasdaq.com/symbol/isl
ACU	Acme United Corporation.	24.59	$81.76M	1988	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/acu
AIII	"ACRE Realty Investors, Inc."	1.21	$24.76M	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/aiii
ATNM	"Actinium Pharmaceuticals, Inc."	1.08	$60.21M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/atnm
AE	"Adams Resources & Energy, Inc."	39.01	$164.53M	n/a	Energy	Oil Refining/Marketing	http://www.nasdaq.com/symbol/ae
ADK	Adcare Health Systems Inc	1.54	$30.7M	n/a	Health Care	Hospital/Nursing Management	http://www.nasdaq.com/symbol/adk
ADK^A	Adcare Health Systems Inc	21.97	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/adk^a
ACY	AeroCentury Corp.	10.25	$16.06M	n/a	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/acy
AIRI	Air Industries Group	3	$22.75M	n/a	Capital Goods	Military/Government/Technical	http://www.nasdaq.com/symbol/airi
AXU	Alexco Resource Corp	1.83	$170.07M	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/axu
AAU	"Almaden Minerals, Ltd."	1.07	$92.25M	2015	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/aau
APT	"Alpha Pro Tech, Ltd."	3.1	$50.53M	n/a	Health Care	Industrial Specialties	http://www.nasdaq.com/symbol/apt
AAMC	Altisource Asset Management Corp	69.1578	$102.33M	n/a	Finance	Real Estate	http://www.nasdaq.com/symbol/aamc
DIT	AMCON Distributing Company	119.1	$82.18M	n/a	Consumer Non-Durables	Food Distributors	http://www.nasdaq.com/symbol/dit
